level,name,Total population_2022,Population under age 18_2022,Percent under age 18_2022,Population ages 18+_2022,Percent ages 18+_2022,Population ages 65+_2022,Percent ages 65+_2022,White population_2022,Percent white_2022,Black population_2022,Percent Black_2022,Latino population_2022,Percent Latino_2022,Other race population_2022,Percent other race_2022,Foreign-born population_2022,Percent foreign-born_2022,Total households_2022,Owner-occupied households_2022,Homeownership rate_2022,Cost-burdened households_2022,Cost-burden rate_2022,Poverty status known_2022,Population in poverty_2022,Poverty rate_2022,Low-income population_2022,Low-income rate_2022,"Under 18, poverty status known_2022",Children in poverty_2022,Child poverty rate_2022,Low-income children_2022,Child low-income rate_2022,"Ages 65+, poverty status known_2022",Seniors in poverty_2022,Senior poverty rate_2022,Low-income seniors_2022,Senior low-income rate_2022,Life expectancy in years_2010-2015,Percent adults with coronary heart disease_2021,Current asthma rate (adults)_2021,Diabetes rate (adults)_2021,Percent adults with high blood pressure_2021,Percent adults with any disability_2021,Percent adults with mobility disability_2021,Annual checkup rate (adults)_2021,Annual dental visit rate (adults)_2020,"Ages 18-64, no health insurance_2021",Current smoking rate (adults)_2021,Percent adults sleeping under 7 hours daily_2020
state,Connecticut,3611317,742877,0.21,2868440,0.79,629108,0.17,2308644,0.64,355970,0.1,627408,0.17,319295,0.09,542964,0.15,1409807,932588,0.66,480042,0.35,3507563,355692,0.1,786615,0.22,733553,98183,0.13,210923,0.29,609617,48446,0.08,132552,0.22,80.3,0.052,0.111,0.094,0.297,0.248,0.112,0.754,0.704,0.08,0.139,0.336
region,Greater New Haven,466491,92281,0.2,374210,0.8,81110,0.17,284244,0.61,65742,0.14,80057,0.17,36448,0.08,62871,0.13,182705,109354,0.6,66758,0.38,445221,52504,0.12,109650,0.25,91173,14598,0.16,29475,0.32,78893,6453,0.08,17488,0.22,79.8,0.051,0.111,0.097,0.306,0.251,0.113,0.755,0.703,0.08,0.146,0.357
town,New Haven,135736,29836,0.22,105900,0.78,14630,0.11,43696,0.32,38040,0.28,41631,0.31,12369,0.09,23754,0.18,52977,15168,0.29,25128,0.49,126367,31927,0.25,58284,0.46,29348,10536,0.36,18336,0.62,14180,2695,0.19,6307,0.44,78.2,0.048,0.125,0.117,0.308,0.301,0.135,0.74,0.594,0.136,0.185,0.402
neighborhood,Amity,4424,796,0.18,3628,0.82,433,0.1,804,0.18,2710,0.61,787,0.18,123,0.03,694,0.16,1680,774,0.46,780,0.48,4424,1059,0.24,1868,0.42,796,388,0.49,576,0.72,433,71,0.16,131,0.3,77,0.049,0.133,0.126,0.351,0.299,0.144,0.771,0.604,0.105,0.196,0.434
neighborhood,Annex,6309,1942,0.31,4367,0.69,765,0.12,1636,0.26,843,0.13,3281,0.52,549,0.09,1338,0.21,2551,806,0.32,1124,0.46,6282,2063,0.33,3365,0.54,1915,1010,0.53,1255,0.66,765,55,0.07,505,0.66,80.4,0.045,0.117,0.106,0.29,0.292,0.125,0.723,0.593,0.157,0.195,0.399
neighborhood,Beaver Hills,6531,1922,0.29,4609,0.71,638,0.1,1349,0.21,3284,0.5,1426,0.22,470,0.07,658,0.1,2042,760,0.37,894,0.45,6276,1403,0.22,2569,0.41,1908,612,0.32,1046,0.55,636,108,0.17,217,0.34,75.8,0.042,0.13,0.111,0.324,0.274,0.121,0.765,0.631,0.092,0.171,0.422
neighborhood,Dixwell,7748,1268,0.16,6480,0.84,449,0.06,2127,0.27,2948,0.38,1348,0.17,1325,0.17,988,0.13,1908,387,0.2,944,0.52,4926,1574,0.32,2664,0.54,1239,556,0.45,830,0.67,450,101,0.22,236,0.52,73.4,0.037,0.126,0.101,0.274,0.285,0.112,0.727,0.599,0.109,0.171,0.41
neighborhood,Downtown New Haven,5941,496,0.08,5445,0.92,354,0.06,2841,0.48,895,0.15,956,0.16,1248,0.21,1474,0.25,2989,168,0.06,1215,0.44,4651,1280,0.28,1615,0.35,490,285,0.58,298,0.61,354,23,0.06,86,0.24,80,0.02,0.106,0.046,0.17,0.182,0.046,0.693,0.718,0.059,0.095,0.34
neighborhood,Dwight,6815,865,0.13,5950,0.87,440,0.06,2536,0.37,1870,0.27,1493,0.22,918,0.13,1173,0.17,3080,175,0.06,1805,0.61,5502,1847,0.34,3268,0.59,847,404,0.48,777,0.92,438,95,0.22,246,0.56,77.6,0.032,0.127,0.086,0.241,0.278,0.095,0.71,0.593,0.109,0.167,0.391
neighborhood,East Rock,10499,1703,0.16,8796,0.84,777,0.07,6125,0.58,832,0.08,2189,0.21,1347,0.13,2223,0.21,4964,1075,0.22,2010,0.43,10476,1882,0.18,3109,0.3,1699,349,0.21,626,0.37,762,26,0.03,152,0.2,82.9,0.03,0.106,0.063,0.211,0.193,0.067,0.707,0.716,0.073,0.111,0.34
neighborhood,East Shore,4547,503,0.11,4044,0.89,1011,0.22,3607,0.79,105,0.02,591,0.13,244,0.05,373,0.08,2250,1803,0.8,603,0.28,4526,258,0.06,389,0.09,489,0,0,0,0,1011,91,0.09,172,0.17,80.7,0.052,0.102,0.087,0.301,0.228,0.102,0.757,0.751,0.062,0.129,0.334
